MarketTrendID,ProductGroupID,TrendName,TrendDescription,StartDate,EndDate,Impact,Region,TargetAudience,MarketShareImpact,RevenueImpact,CompetitorReaction,TrendSource
182,13,fill,Glass sense door state today member.,5/4/2022,3/17/2020,Medium,Arizona,film,4.31,80905.07,Poor majority point religious memory rate measure value.,Market Research
183,3,design,Bank list save size American plan what happen catch glass fear team break.,10/4/2023,12/23/2022,Low,Alabama,field,3.87,5318.11,Building within deep field.,News Article
184,18,little,Fear two yard easy style growth likely police about voice class.,5/21/2024,6/25/2023,Low,Florida,subject,4.75,61862.32,Professional address improve television beat hold drop.,Market Research
185,1,how,Discover suffer wind radio total together energy probably if between while food past.,3/17/2023,11/29/2023,Medium,New Jersey,commercial,3.81,79922.91,Finish get certain pressure.,News Article
186,19,fact,Edge treatment imagine response country compare catch lead occur.,7/14/2022,6/30/2023,High,Illinois,none,3.86,9301.69,Voice edge offer attack easy would professor.,News Article
187,9,travel,Later keep admit another upon song once foot scene.,1/20/2024,3/18/2024,Low,New Mexico,film,2.75,33825.37,Long system consumer protect create full home likely.,News Article
188,5,owner,Foreign hot future race kind player safe local.,2/29/2024,6/8/2020,Medium,Virginia,maintain,4.52,46736.49,Miss past region door guy.,News Article
189,12,town,Bank upon majority ability want subject discussion.,4/30/2024,10/13/2023,Medium,Georgia,push,1.11,54402,Manager old ground human idea with cultural church.,Market Research
190,1,range,Small case personal loss scientist receive off federal new.,2/22/2021,2/12/2020,Low,Washington,fill,2.73,37493.03,Material especially identify notice so address throughout.,Market Research
191,11,challenge,Spend bar large month tell again whether argue class kind price.,12/31/2021,6/11/2024,Medium,Rhode Island,Republican,0.88,26869.33,Behind government miss born blue.,Market Research
192,17,fast,Policy ahead natural rich level expert history develop real.,3/30/2020,7/13/2022,Low,Oklahoma,black,3.18,72243.18,Three process travel wear which.,News Article
193,20,sure,Knowledge hospital later structure southern everyone image.,10/18/2023,6/21/2023,High,Maryland,use,1.38,2412.93,Law wonder half change.,Industry Report
194,8,word,Box sure name prepare social sort kid stuff expert.,9/20/2021,9/24/2022,Medium,Nebraska,face,4.44,22201.55,Full candidate role.,Market Research
195,11,simple,These raise feeling everybody structure people.,6/16/2021,12/5/2020,Medium,Wyoming,past,4.86,65042.14,Include remember opportunity style commercial.,News Article
196,6,during,Support produce item too thus number.,3/25/2023,7/10/2022,Low,Oregon,three,1.58,60682.01,Age onto father work black hard.,Market Research
197,17,win,Draw become go leader tell trouble company.,8/9/2023,12/23/2021,High,Rhode Island,somebody,4.75,55664.45,Quality final standard another.,Market Research
198,9,person,Surface image discover true accept evidence.,3/9/2023,7/24/2024,Low,Florida,southern,3,85634.81,Thus machine real management black.,Market Research
199,18,second,Want whatever produce tree finally thousand improve.,3/26/2020,5/28/2021,Medium,Kansas,way,1.19,72441.52,Management light produce fast.,Industry Report
200,16,collection,Personal pay produce floor including image figure so event free field accept yourself.,3/3/2023,8/18/2024,High,Michigan,himself,0.54,91403.6,Road coach deal treat thank right late.,Market Research
